"image_id","predicted_label","human_label","notes"
"24","","6","from_accuracy_dataset"
"58","","2","from_accuracy_dataset"
"68","","5","from_accuracy_dataset"
"75","","6","from_accuracy_dataset"
"79","","5","from_accuracy_dataset"
"90","","5","from_accuracy_dataset"
"109","","0","from_accuracy_dataset"
"152","","2","from_accuracy_dataset"
"159","","2","from_accuracy_dataset"
"214","","0","from_accuracy_dataset"
"252","","1","from_accuracy_dataset"
"299","","0","from_accuracy_dataset"
"314","","9","from_accuracy_dataset"
"326","","5","from_accuracy_dataset"
"357","","2","from_accuracy_dataset"
"367","","4","from_accuracy_dataset"
"368","","2","from_accuracy_dataset"
"369","","2","from_accuracy_dataset"
"404","","8","from_accuracy_dataset"
"426","","1","from_accuracy_dataset"
"433","","5","from_accuracy_dataset"
"464","","0","from_accuracy_dataset"
"465","","2","from_accuracy_dataset"
"470","","5","from_accuracy_dataset"
"487","","6","from_accuracy_dataset"
"510","","8","from_accuracy_dataset"
"521","","5","from_accuracy_dataset"
"528","","6","from_accuracy_dataset"
"568","","0","from_accuracy_dataset"
"604","","8","from_accuracy_dataset"
"609","","7","from_accuracy_dataset"
"615","","7","from_accuracy_dataset"
"618","","0","from_accuracy_dataset"
"638","","5","from_accuracy_dataset"
"643","","4","from_accuracy_dataset"
"659","","0","from_accuracy_dataset"
"665","","9","from_accuracy_dataset"
"666","","2","from_accuracy_dataset"
"702","","6","from_accuracy_dataset"
"713","","1","from_accuracy_dataset"
"741","","9","from_accuracy_dataset"
"766","","6","from_accuracy_dataset"
"796","","1","from_accuracy_dataset"
"834","","5","from_accuracy_dataset"
"868","","6","from_accuracy_dataset"
"879","","8","from_accuracy_dataset"
"881","","8","from_accuracy_dataset"
"932","","6","from_accuracy_dataset"
"933","","4","from_accuracy_dataset"
"936","","3","from_accuracy_dataset"
"960","","0","from_accuracy_dataset"
"963","","4","from_accuracy_dataset"
"969","","3","from_accuracy_dataset"
"972","","9","from_accuracy_dataset"
"981","","0","from_accuracy_dataset"
"1029","","4","from_accuracy_dataset"
"1032","","1","from_accuracy_dataset"
"1065","","0","from_accuracy_dataset"
"1092","","8","from_accuracy_dataset"
"1111","","4","from_accuracy_dataset"
"1129","","2","from_accuracy_dataset"
"1163","","3","from_accuracy_dataset"
"1180","","7","from_accuracy_dataset"
"1188","","9","from_accuracy_dataset"
"1189","","7","from_accuracy_dataset"
"1190","","4","from_accuracy_dataset"
"1199","","3","from_accuracy_dataset"
"1210","","2","from_accuracy_dataset"
"1255","","2","from_accuracy_dataset"
"1260","","8","from_accuracy_dataset"
"1287","","1","from_accuracy_dataset"
"1288","","7","from_accuracy_dataset"
"1303","","8","from_accuracy_dataset"
"1306","","5","from_accuracy_dataset"
"1318","","4","from_accuracy_dataset"
"1322","","8","from_accuracy_dataset"
"1346","","0","from_accuracy_dataset"
"1348","","5","from_accuracy_dataset"
"1355","","3","from_accuracy_dataset"
"1398","","4","from_accuracy_dataset"
"1427","","7","from_accuracy_dataset"
"1465","","4","from_accuracy_dataset"
"1498","","3","from_accuracy_dataset"
"1516","","2","from_accuracy_dataset"
"1574","","1","from_accuracy_dataset"
"1610","","8","from_accuracy_dataset"
"1623","","1","from_accuracy_dataset"
"1632","","4","from_accuracy_dataset"
"1662","","1","from_accuracy_dataset"
"1684","","1","from_accuracy_dataset"
"1705","","3","from_accuracy_dataset"
"1709","","8","from_accuracy_dataset"
"1720","","3","from_accuracy_dataset"
"1750","","4","from_accuracy_dataset"
"1761","","5","from_accuracy_dataset"
"1771","","7","from_accuracy_dataset"
"1773","","2","from_accuracy_dataset"
"1794","","3","from_accuracy_dataset"
"1804","","0","from_accuracy_dataset"
"1814","","9","from_accuracy_dataset"
"1821","","0","from_accuracy_dataset"
"1833","","2","from_accuracy_dataset"
"1868","","3","from_accuracy_dataset"
"1875","","2","from_accuracy_dataset"
"1890","","6","from_accuracy_dataset"
"1906","","7","from_accuracy_dataset"
"1925","","8","from_accuracy_dataset"
"1959","","1","from_accuracy_dataset"
"2030","","4","from_accuracy_dataset"
"2065","","6","from_accuracy_dataset"
"2077","","0","from_accuracy_dataset"
"2080","","2","from_accuracy_dataset"
"2094","","8","from_accuracy_dataset"
"2095","","3","from_accuracy_dataset"
"2106","","3","from_accuracy_dataset"
"2110","","6","from_accuracy_dataset"
"2117","","0","from_accuracy_dataset"
"2133","","4","from_accuracy_dataset"
"2146","","7","from_accuracy_dataset"
"2150","","9","from_accuracy_dataset"
"2163","","8","from_accuracy_dataset"
"2229","","7","from_accuracy_dataset"
"2239","","0","from_accuracy_dataset"
"2282","","6","from_accuracy_dataset"
"2289","","7","from_accuracy_dataset"
"2292","","3","from_accuracy_dataset"
"2318","","6","from_accuracy_dataset"
"2353","","1","from_accuracy_dataset"
"2357","","5","from_accuracy_dataset"
"2379","","7","from_accuracy_dataset"
"2394","","4","from_accuracy_dataset"
"2426","","4","from_accuracy_dataset"
"2455","","1","from_accuracy_dataset"
"2470","","9","from_accuracy_dataset"
"2481","","2","from_accuracy_dataset"
"2492","","5","from_accuracy_dataset"
"2570","","5","from_accuracy_dataset"
"2580","","5","from_accuracy_dataset"
"2599","","2","from_accuracy_dataset"
"2605","","2","from_accuracy_dataset"
"2609","","7","from_accuracy_dataset"
"2621","","0","from_accuracy_dataset"
"2638","","6","from_accuracy_dataset"
"2652","","5","from_accuracy_dataset"
"2682","","4","from_accuracy_dataset"
"2707","","6","from_accuracy_dataset"
"2713","","2","from_accuracy_dataset"
"2727","","7","from_accuracy_dataset"
"2735","","3","from_accuracy_dataset"
"2750","","2","from_accuracy_dataset"
"2762","","0","from_accuracy_dataset"
"2766","","0","from_accuracy_dataset"
"2776","","6","from_accuracy_dataset"
"2793","","6","from_accuracy_dataset"
"2808","","4","from_accuracy_dataset"
"2814","","3","from_accuracy_dataset"
"2817","","9","from_accuracy_dataset"
"2824","","2","from_accuracy_dataset"
"2867","","6","from_accuracy_dataset"
"2868","","7","from_accuracy_dataset"
"2937","","5","from_accuracy_dataset"
"2968","","5","from_accuracy_dataset"
"2988","","0","from_accuracy_dataset"
"3061","","6","from_accuracy_dataset"
"3144","","3","from_accuracy_dataset"
"3251","","0","from_accuracy_dataset"
"3291","","5","from_accuracy_dataset"
"3318","","3","from_accuracy_dataset"
"3320","","0","from_accuracy_dataset"
"3325","","4","from_accuracy_dataset"
"3350","","9","from_accuracy_dataset"
"3357","","8","from_accuracy_dataset"
"3363","","6","from_accuracy_dataset"
"3376","","8","from_accuracy_dataset"
"3436","","6","from_accuracy_dataset"
"3440","","3","from_accuracy_dataset"
"3441","","6","from_accuracy_dataset"
"3461","","6","from_accuracy_dataset"
"3477","","4","from_accuracy_dataset"
"3496","","9","from_accuracy_dataset"
"3516","","5","from_accuracy_dataset"
"3542","","8","from_accuracy_dataset"
"3612","","3","from_accuracy_dataset"
"3614","","6","from_accuracy_dataset"
"3620","","7","from_accuracy_dataset"
"3623","","0","from_accuracy_dataset"
"3637","","8","from_accuracy_dataset"
"3652","","8","from_accuracy_dataset"
"3658","","5","from_accuracy_dataset"
"3675","","0","from_accuracy_dataset"
"3683","","5","from_accuracy_dataset"
"3762","","0","from_accuracy_dataset"
"3776","","9","from_accuracy_dataset"
"3778","","5","from_accuracy_dataset"
"3826","","4","from_accuracy_dataset"
"3827","","0","from_accuracy_dataset"
"3844","","7","from_accuracy_dataset"
"3876","","4","from_accuracy_dataset"
"3898","","1","from_accuracy_dataset"
"3922","","7","from_accuracy_dataset"
"3937","","5","from_accuracy_dataset"
"3957","","4","from_accuracy_dataset"
"3982","","4","from_accuracy_dataset"
"4009","","0","from_accuracy_dataset"
"4018","","9","from_accuracy_dataset"
"4045","","7","from_accuracy_dataset"
"4090","","2","from_accuracy_dataset"
"4106","","1","from_accuracy_dataset"
"4108","","8","from_accuracy_dataset"
"4144","","1","from_accuracy_dataset"
"4162","","0","from_accuracy_dataset"
"4186","","7","from_accuracy_dataset"
"4215","","1","from_accuracy_dataset"
"4227","","1","from_accuracy_dataset"
"4229","","2","from_accuracy_dataset"
"4230","","7","from_accuracy_dataset"
"4236","","2","from_accuracy_dataset"
"4251","","9","from_accuracy_dataset"
"4261","","5","from_accuracy_dataset"
"4303","","5","from_accuracy_dataset"
"4318","","7","from_accuracy_dataset"
"4319","","2","from_accuracy_dataset"
"4331","","5","from_accuracy_dataset"
"4342","","1","from_accuracy_dataset"
"4351","","4","from_accuracy_dataset"
"4377","","8","from_accuracy_dataset"
"4407","","0","from_accuracy_dataset"
"4462","","9","from_accuracy_dataset"
"4469","","3","from_accuracy_dataset"
"4480","","6","from_accuracy_dataset"
"4495","","5","from_accuracy_dataset"
"4509","","7","from_accuracy_dataset"
"4551","","4","from_accuracy_dataset"
"4558","","2","from_accuracy_dataset"
"4567","","3","from_accuracy_dataset"
"4576","","8","from_accuracy_dataset"
"4588","","2","from_accuracy_dataset"
"4605","","8","from_accuracy_dataset"
"4652","","2","from_accuracy_dataset"
"4669","","5","from_accuracy_dataset"
"4682","","3","from_accuracy_dataset"
"4699","","9","from_accuracy_dataset"
"4702","","5","from_accuracy_dataset"
"4716","","2","from_accuracy_dataset"
"4721","","7","from_accuracy_dataset"
"4799","","8","from_accuracy_dataset"
"4804","","1","from_accuracy_dataset"
"4863","","0","from_accuracy_dataset"
"4864","","6","from_accuracy_dataset"
"4881","","9","from_accuracy_dataset"
"4888","","2","from_accuracy_dataset"
"4928","","7","from_accuracy_dataset"
"4938","","4","from_accuracy_dataset"
"4964","","9","from_accuracy_dataset"
"4968","","7","from_accuracy_dataset"
"4984","","3","from_accuracy_dataset"
"4998","","5","from_accuracy_dataset"
"5000","","9","from_accuracy_dataset"
"5004","","0","from_accuracy_dataset"
"5024","","6","from_accuracy_dataset"
"5073","","9","from_accuracy_dataset"
"5106","","4","from_accuracy_dataset"
"5128","","9","from_accuracy_dataset"
"5135","","7","from_accuracy_dataset"
"5152","","7","from_accuracy_dataset"
"5165","","1","from_accuracy_dataset"
"5183","","4","from_accuracy_dataset"
"5194","","8","from_accuracy_dataset"
"5203","","0","from_accuracy_dataset"
"5254","","9","from_accuracy_dataset"
"5295","","9","from_accuracy_dataset"
"5336","","4","from_accuracy_dataset"
"5344","","6","from_accuracy_dataset"
"5346","","5","from_accuracy_dataset"
"5348","","3","from_accuracy_dataset"
"5359","","4","from_accuracy_dataset"
"5406","","0","from_accuracy_dataset"
"5418","","0","from_accuracy_dataset"
"5515","","2","from_accuracy_dataset"
"5547","","5","from_accuracy_dataset"
"5566","","3","from_accuracy_dataset"
"5568","","7","from_accuracy_dataset"
"5604","","1","from_accuracy_dataset"
"5646","","9","from_accuracy_dataset"
"5659","","9","from_accuracy_dataset"
"5671","","5","from_accuracy_dataset"
"5688","","5","from_accuracy_dataset"
"5735","","9","from_accuracy_dataset"
"5748","","5","from_accuracy_dataset"
"5749","","3","from_accuracy_dataset"
"5753","","6","from_accuracy_dataset"
"5774","","5","from_accuracy_dataset"
"5782","","1","from_accuracy_dataset"
"5801","","0","from_accuracy_dataset"
"5810","","8","from_accuracy_dataset"
"5818","","2","from_accuracy_dataset"
"5827","","0","from_accuracy_dataset"
"5871","","6","from_accuracy_dataset"
"5893","","7","from_accuracy_dataset"
"5915","","4","from_accuracy_dataset"
"5924","","6","from_accuracy_dataset"
"5963","","2","from_accuracy_dataset"
"5995","","0","from_accuracy_dataset"
"6001","","1","from_accuracy_dataset"
"6018","","3","from_accuracy_dataset"
"6059","","3","from_accuracy_dataset"
"6074","","3","from_accuracy_dataset"
"6087","","6","from_accuracy_dataset"
"6097","","8","from_accuracy_dataset"
"6134","","4","from_accuracy_dataset"
"6144","","3","from_accuracy_dataset"
"6169","","1","from_accuracy_dataset"
"6186","","8","from_accuracy_dataset"
"6189","","9","from_accuracy_dataset"
"6216","","2","from_accuracy_dataset"
"6228","","1","from_accuracy_dataset"
"6280","","8","from_accuracy_dataset"
"6315","","2","from_accuracy_dataset"
"6316","","0","from_accuracy_dataset"
"6347","","1","from_accuracy_dataset"
"6354","","9","from_accuracy_dataset"
"6369","","8","from_accuracy_dataset"
"6424","","1","from_accuracy_dataset"
"6439","","1","from_accuracy_dataset"
"6447","","8","from_accuracy_dataset"
"6459","","0","from_accuracy_dataset"
"6481","","3","from_accuracy_dataset"
"6499","","9","from_accuracy_dataset"
"6521","","2","from_accuracy_dataset"
"6548","","1","from_accuracy_dataset"
"6559","","2","from_accuracy_dataset"
"6576","","1","from_accuracy_dataset"
"6602","","7","from_accuracy_dataset"
"6604","","2","from_accuracy_dataset"
"6609","","6","from_accuracy_dataset"
"6671","","6","from_accuracy_dataset"
"6682","","9","from_accuracy_dataset"
"6722","","8","from_accuracy_dataset"
"6740","","8","from_accuracy_dataset"
"6750","","8","from_accuracy_dataset"
"6776","","3","from_accuracy_dataset"
"6780","","9","from_accuracy_dataset"
"6830","","9","from_accuracy_dataset"
"6839","","8","from_accuracy_dataset"
"6844","","2","from_accuracy_dataset"
"6888","","3","from_accuracy_dataset"
"6934","","6","from_accuracy_dataset"
"6960","","4","from_accuracy_dataset"
"6961","","3","from_accuracy_dataset"
"7009","","5","from_accuracy_dataset"
"7021","","2","from_accuracy_dataset"
"7092","","7","from_accuracy_dataset"
"7099","","7","from_accuracy_dataset"
"7134","","4","from_accuracy_dataset"
"7136","","4","from_accuracy_dataset"
"7141","","7","from_accuracy_dataset"
"7170","","3","from_accuracy_dataset"
"7175","","8","from_accuracy_dataset"
"7187","","5","from_accuracy_dataset"
"7235","","8","from_accuracy_dataset"
"7312","","9","from_accuracy_dataset"
"7315","","3","from_accuracy_dataset"
"7319","","9","from_accuracy_dataset"
"7328","","7","from_accuracy_dataset"
"7329","","1","from_accuracy_dataset"
"7340","","9","from_accuracy_dataset"
"7418","","3","from_accuracy_dataset"
"7424","","9","from_accuracy_dataset"
"7470","","5","from_accuracy_dataset"
"7509","","5","from_accuracy_dataset"
"7565","","9","from_accuracy_dataset"
"7636","","5","from_accuracy_dataset"
"7641","","9","from_accuracy_dataset"
"7662","","8","from_accuracy_dataset"
"7706","","6","from_accuracy_dataset"
"7743","","9","from_accuracy_dataset"
"7761","","0","from_accuracy_dataset"
"7763","","6","from_accuracy_dataset"
"7777","","8","from_accuracy_dataset"
"7779","","1","from_accuracy_dataset"
"7780","","9","from_accuracy_dataset"
"7790","","2","from_accuracy_dataset"
"7807","","3","from_accuracy_dataset"
"7824","","6","from_accuracy_dataset"
"7829","","7","from_accuracy_dataset"
"7831","","2","from_accuracy_dataset"
"7833","","8","from_accuracy_dataset"
"7841","","3","from_accuracy_dataset"
"7889","","8","from_accuracy_dataset"
"7897","","4","from_accuracy_dataset"
"7899","","1","from_accuracy_dataset"
"7990","","4","from_accuracy_dataset"
"8004","","4","from_accuracy_dataset"
"8009","","5","from_accuracy_dataset"
"8037","","7","from_accuracy_dataset"
"8060","","0","from_accuracy_dataset"
"8085","","7","from_accuracy_dataset"
"8125","","0","from_accuracy_dataset"
"8163","","1","from_accuracy_dataset"
"8171","","8","from_accuracy_dataset"
"8187","","9","from_accuracy_dataset"
"8234","","1","from_accuracy_dataset"
"8237","","0","from_accuracy_dataset"
"8247","","6","from_accuracy_dataset"
"8286","","2","from_accuracy_dataset"
"8305","","1","from_accuracy_dataset"
"8307","","3","from_accuracy_dataset"
"8310","","7","from_accuracy_dataset"
"8335","","7","from_accuracy_dataset"
"8336","","9","from_accuracy_dataset"
"8383","","6","from_accuracy_dataset"
"8385","","0","from_accuracy_dataset"
"8401","","9","from_accuracy_dataset"
"8409","","3","from_accuracy_dataset"
"8412","","6","from_accuracy_dataset"
"8437","","0","from_accuracy_dataset"
"8442","","3","from_accuracy_dataset"
"8448","","1","from_accuracy_dataset"
"8483","","1","from_accuracy_dataset"
"8513","","8","from_accuracy_dataset"
"8517","","1","from_accuracy_dataset"
"8558","","6","from_accuracy_dataset"
"8568","","7","from_accuracy_dataset"
"8574","","9","from_accuracy_dataset"
"8597","","7","from_accuracy_dataset"
"8601","","2","from_accuracy_dataset"
"8661","","2","from_accuracy_dataset"
"8680","","6","from_accuracy_dataset"
"8688","","1","from_accuracy_dataset"
"8713","","1","from_accuracy_dataset"
"8775","","4","from_accuracy_dataset"
"8787","","6","from_accuracy_dataset"
"8790","","1","from_accuracy_dataset"
"8797","","0","from_accuracy_dataset"
"8821","","7","from_accuracy_dataset"
"8827","","2","from_accuracy_dataset"
"8834","","9","from_accuracy_dataset"
"8835","","1","from_accuracy_dataset"
"8841","","3","from_accuracy_dataset"
"8844","","8","from_accuracy_dataset"
"8846","","3","from_accuracy_dataset"
"8853","","9","from_accuracy_dataset"
"8873","","7","from_accuracy_dataset"
"8877","","7","from_accuracy_dataset"
"8908","","5","from_accuracy_dataset"
"8918","","7","from_accuracy_dataset"
"8922","","1","from_accuracy_dataset"
"8969","","4","from_accuracy_dataset"
"8971","","0","from_accuracy_dataset"
"9002","","7","from_accuracy_dataset"
"9009","","8","from_accuracy_dataset"
"9022","","2","from_accuracy_dataset"
"9060","","3","from_accuracy_dataset"
"9096","","6","from_accuracy_dataset"
"9126","","4","from_accuracy_dataset"
"9133","","4","from_accuracy_dataset"
"9141","","0","from_accuracy_dataset"
"9201","","9","from_accuracy_dataset"
"9210","","5","from_accuracy_dataset"
"9217","","8","from_accuracy_dataset"
"9219","","6","from_accuracy_dataset"
"9236","","1","from_accuracy_dataset"
"9239","","3","from_accuracy_dataset"
"9253","","9","from_accuracy_dataset"
"9259","","8","from_accuracy_dataset"
"9273","","1","from_accuracy_dataset"
"9296","","1","from_accuracy_dataset"
"9322","","1","from_accuracy_dataset"
"9344","","7","from_accuracy_dataset"
"9396","","3","from_accuracy_dataset"
"9409","","0","from_accuracy_dataset"
"9412","","4","from_accuracy_dataset"
"9421","","8","from_accuracy_dataset"
"9441","","5","from_accuracy_dataset"
"9469","","4","from_accuracy_dataset"
"9488","","6","from_accuracy_dataset"
"9504","","6","from_accuracy_dataset"
"9551","","6","from_accuracy_dataset"
"9557","","2","from_accuracy_dataset"
"9638","","4","from_accuracy_dataset"
"9642","","3","from_accuracy_dataset"
"9647","","5","from_accuracy_dataset"
"9685","","7","from_accuracy_dataset"
"9737","","9","from_accuracy_dataset"
"9771","","5","from_accuracy_dataset"
"9789","","0","from_accuracy_dataset"
"9806","","4","from_accuracy_dataset"
"9857","","9","from_accuracy_dataset"
"9894","","3","from_accuracy_dataset"
"9905","","8","from_accuracy_dataset"
"9907","","4","from_accuracy_dataset"
"9912","","6","from_accuracy_dataset"
"9913","","1","from_accuracy_dataset"
"9922","","5","from_accuracy_dataset"
"9953","","8","from_accuracy_dataset"
"9955","","7","from_accuracy_dataset"
"9959","","4","from_accuracy_dataset"
"9967","","3","from_accuracy_dataset"
"9973","","4","from_accuracy_dataset"
"9990","","2","from_accuracy_dataset"
